model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
base,DEU,Q62,4,0.37246098344967876,0.16589528146991006,-1.1217112072779818,-0.459108156974133,-0.37836692525469795,1.0
base,DEU,Q63,4,0.3339373824365051,0.13071139130803436,-0.9701072186454263,-0.39517091255347736,-0.34506750850030166,1.0
base,DEU,Q64,4,0.2812909145588881,0.08350438995957714,-0.2575378605115175,-0.1503892613920752,-0.4821762492628898,0.0
base,DEU,Q69,4,0.19837013853063215,0.06414639244081657,-0.28062948574262014,-0.12910163455982349,0.26932840024343396,1.0
base,DEU,Q70,4,0.19331857319094822,0.061250838110698806,-0.5090209573337363,-0.23206307305301355,0.13516206596048308,1.0
base,DEU,Q71,4,0.2733493899006938,0.08982840982320829,-0.6464506167509425,-0.2671137503632409,0.07769976152339542,1.0
base,DEU,Q73,4,0.1211758913515324,0.04180763560556585,-0.38271208931160117,-0.17305636670400426,-0.1528945559938668,0.0
base,DEU,Q81,4,0.23747001254516367,0.056754451629246916,-0.5948093684553044,-0.25097123129266563,-0.1983722089340052,1.0
base,DEU,Q99,3,0.6503644505087754,0.34121200827070297,0.7984623315524589,0.28549288882159374,1.139194284841671,0.0
base,EGY,Q101,3,0.6963689094851018,0.4218943119526006,1.1723224598980018,0.5000219798863645,1.1529175559818636,0.0
base,EGY,Q103,3,0.39700525774257056,0.2239504209061683,1.31215880796936,0.7567208075637961,0.6524131351448459,1.0
base,EGY,Q106,10,0.7277690982324752,0.526549223170999,-1.2736904034953587,-2.1608961947357215,-1.3496213167150328,0.0
base,EGY,Q107,10,0.47011724429584495,0.2661303751212357,-0.4582136841756168,-1.4087289615188376,-0.7842309742876621,0.0
base,EGY,Q109,10,0.7311454088395866,0.51952946007976,-0.4927602424062647,-1.0583889275479845,2.5929036238514915,0.0
base,EGY,Q174,2,0.49963180173653576,0.2921840918130318,-0.9407774600434133,-0.41747433775782383,0.499631801736536,0.0
base,EGY,Q176,10,0.5522922752223084,0.3211993103183547,-1.159635635139939,-1.6991092813189295,1.018878234289324,0.0
base,EGY,Q177,10,0.1441902418339854,0.049143316055745706,-0.19609070653512828,0.40844732586382815,0.15920789816752112,1.0
base,EGY,Q178,10,0.8425910881830102,0.6949775639735062,1.2540376557949577,0.3417330015699658,4.4017979409786925,0.0
base,EGY,Q179,10,0.12090407641463058,0.05856173308878054,0.6533094281088372,1.29501414372339,0.5373886275500812,1.0
base,EGY,Q195,10,0.535852994681506,0.33695263935142183,-0.5924426008772925,-1.8038790421720623,-1.0924527534286774,0.0
base,EGY,Q260,2,0.07967650088579808,0.00459343768294173,-0.010299776136122873,-0.0035746354158848193,0.07967650088579803,0.0
base,EGY,Q275,9,0.8149263859078669,0.6063033049902817,-1.774895206427343,-1.5822442794836273,3.408786789969573,0.0
base,EGY,Q288,10,0.3373823819289846,0.13731068031798888,-0.6757614434927415,-0.5291420031096311,0.9379425257943783,1.0
base,EGY,Q43,3,0.8790487446925481,0.7423237961405164,-0.017404519297747445,-0.21252661120035643,-0.8691069810600183,0.0
base,EGY,Q50,10,0.6704822072038872,0.42913092364594224,-1.7224707319423342,-1.7441737333042515,1.6266274631767157,0.0
base,EGY,Q57,2,0.1923633469511119,0.049812824587656006,0.45657718711665884,0.18081746893241946,-0.1923633469511119,1.0
base,EGY,Q58,4,0.44553275000602394,0.19554994648035487,0.6661998489919381,0.2214865301617745,0.4442549458719405,0.0
base,EGY,Q59,4,0.4042383550893187,0.16309109797226587,-0.9578955029601047,-0.41206740433345657,0.20688813887680157,1.0
base,EGY,Q60,4,0.3881055321118644,0.13195962339910527,-0.7031631562240152,-0.3104803563221789,0.15889813657012675,0.0
base,EGY,Q61,4,0.6918104256504436,0.4190291829273939,-0.9609776869098634,-0.3880692468152495,-0.9816052847588916,0.0
base,EGY,Q62,4,0.506446287427675,0.2561314290058583,-1.3750158733185722,-0.5821447052109797,-0.5184780737037431,1.0
base,EGY,Q63,4,0.7639877303784666,0.5173903012067906,-1.1185165031618796,-0.4735633718276616,-1.127413418308001,0.0
base,EGY,Q64,4,0.26820848513713014,0.06921971047417023,-0.3011543538911101,-0.2266283706731993,0.24719302616374117,1.0
base,EGY,Q73,4,0.5483693511202206,0.36773899032388147,-0.13067335835650074,-0.10736235112350734,-0.9740714884620667,0.0
base,EGY,Q81,4,0.35758994331448724,0.14938179002826318,-0.9326861840938716,-0.5004308702114325,-0.4459860139506442,1.0
base,EGY,Q99,3,0.7649607178082019,0.5526056484445592,1.3781541824292607,0.7256102391076461,1.3238081960415056,0.0
base,GBR,Q101,3,0.46977365033172036,0.16721662666456022,0.4056352814640538,0.08279833632855926,0.7951002821121536,0.0
base,GBR,Q103,3,0.27396808918448484,0.07658665626317536,0.6945028182749217,0.3391767403369773,0.46634216852859955,1.0
base,GBR,Q106,10,0.5931128502135111,0.3658810595439167,-1.427451263670829,-1.9106214307878364,-0.46978762332089996,0.0
base,GBR,Q107,10,0.22357959087327617,0.09899873673489984,-0.38014191699554045,-0.6638546063552535,0.3230806698239821,1.0
base,GBR,Q109,10,0.4986947905591293,0.29156077292694493,-0.8963369724765495,-1.0282780954401791,1.3935845475909838,0.0
base,GBR,Q176,10,0.4929634165130237,0.2816115358146707,-1.1449447146933207,-1.5842336617319166,-0.31734012331308303,1.0
base,GBR,Q177,10,0.20036255195450364,0.06738794572416482,-0.6179725020861988,0.09984632832288809,-0.204859361694532,1.0
base,GBR,Q178,10,0.7028247752064196,0.4909096023482422,0.3473708980445438,-0.4167272538923945,3.551372474136118,0.0
base,GBR,Q179,10,0.12746665984767866,0.05170700039988431,-0.3194937181112477,0.3711859115242062,0.04622423316075852,1.0
base,GBR,Q195,10,0.5747166252570575,0.3544597799761099,-0.7653789110539919,-1.8499830831927861,1.0623874419192898,0.0
base,GBR,Q260,2,0.04442976377084251,0.001433584183565744,-0.010274672427347142,-0.0035659333302703877,0.0444297637708424,1.0
base,GBR,Q275,9,0.7212187750627805,0.4793164102019397,-1.8427513231801371,-1.3344683128925285,1.9323836601477682,0.0
base,GBR,Q288,10,0.5379871879840306,0.3009968275026553,-1.2181358484368083,-1.3253070343896103,0.07379564887621815,0.0
base,GBR,Q43,3,0.5495249682577946,0.2644177272802801,-1.0512932273531603,-0.47732030985179913,0.22471047212317252,0.0
base,GBR,Q50,10,0.5755652054990814,0.36838400212956834,-1.6265197199921342,-1.5395467744113376,-0.4526055677060361,0.0
base,GBR,Q57,2,0.19231223250659538,0.029030631217186367,-0.1557223395865509,-0.05508701804460553,0.19231223250659513,1.0
base,GBR,Q58,4,0.35063113607669005,0.10130532903148194,0.22343192279870006,0.030753881691823415,0.3189998684183124,0.0
base,GBR,Q59,4,0.269482298079839,0.08281996614537693,-0.8423861442176818,-0.3414090138981565,0.05115521796365363,1.0
base,GBR,Q60,4,0.33605298843176196,0.09182060813835133,-0.4096459242434872,-0.1566963879720521,0.2996443491264176,0.0
base,GBR,Q61,4,0.36396928366128567,0.13327784670971204,-0.88231240772808,-0.3560843110432785,-0.4291822170693158,1.0
base,GBR,Q62,4,0.24081229359269077,0.08690368378643014,-0.9288037007835109,-0.37344438584388573,-0.01794320676898442,1.0
base,GBR,Q63,4,0.18467076592346462,0.05263328316445853,-0.7120622711434974,-0.29090248760926884,0.008814523738783997,1.0
base,GBR,Q64,4,0.22410575101873553,0.05883901751747744,-0.2978533561657728,-0.17419297426675728,-0.35854106980179123,0.0
base,GBR,Q69,4,0.19143718735136303,0.04834835584511285,-0.5397006728370597,-0.24678005566780092,-0.04638349700819555,1.0
